# OBER — OLX kategoriyalari (avtomatik topilgan)
# Qo'lda tahrirlamang: kategoriya_top.py qayta yozadi.
# Jami: 802

transport/avtobusy|Transport / Avtobuslar
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/styazhka-pola|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Styajka
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/svarochnye-raboty|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Payvandlash, svarka
uslugi/stroitelstvo-otdelka-remont/stroitelnye-uslugi/zemlyanye-raboty|Xizmatlar / Qurilish / ta'mirlash / usta / Qurilish xizmatlari / Tuproq ishlari
uslugi/stroitelstvo-otdelka-remont/ventilyatsiya-konditsionirovanie|Xizmatlar / Qurilish / ta'mirlash / usta / Ventilyatsiya-konditsionerlar
uslugi/syre-materialy|Xizmatlar / Xomashyo / materiallar
uslugi/turizm/drugoe|Xizmatlar / Turizm / Boshqa
uslugi/turizm/gidy-ekskursovody|Xizmatlar / Turizm / Gid, ekskursiya, tour
uslugi/turizm/goryashchiy-tury-pakety|Xizmatlar / Turizm / Goryashiy turi / Tur paket
uslugi/turizm/palomnichestvo|Xizmatlar / Turizm / Ziyorat
uslugi/turizm/vizy-immigratsiya|Xizmatlar / Turizm / Viza rasmiylashtirish, immigratsiya
uslugi/turizm/vnutrenniy-turizm|Xizmatlar / Turizm / Ichki turizm
uslugi/uborka-vyvoz-musora/dezinfektsiya-dezinsektsiya|Xizmatlar / Tozalash / axlat tashish / dezinfektsiyalash / Dezinfektsiya / dezinseksiya
uslugi/uborka-vyvoz-musora/drugoe|Xizmatlar / Tozalash / axlat tashish / dezinfektsiyalash / Boshqa
uslugi/uborka-vyvoz-musora/himchistka-stirka|Xizmatlar / Tozalash / axlat tashish / dezinfektsiyalash / Ximchistka / yuvish
uslugi/uborka-vyvoz-musora/uborka-klining|Xizmatlar / Tozalash / axlat tashish / dezinfektsiyalash / Tozalash / yig'ishtirish
uslugi/uborka-vyvoz-musora/vyvoz-musora-assenizator|Xizmatlar / Tozalash / axlat tashish / dezinfektsiyalash / Chiqindilarni tashish / Assenizator xizmati
uslugi/uslugi-dlya-zhivotnyh|Xizmatlar / Hayvonlar uchun xizmatlar
uslugi/uslugi-perevodchikov-nabor-teksta|Xizmatlar / Tarjima / yozuv xizmatlari
uslugi/yuridicheskie-uslugi|Xizmatlar / Yuridik xizmatlar
rabota/avtoservis|Ish / Avtoservis
rabota/bary-restorany-razvlecheniya/administrator-restorana|Ish / Barlar-restoranlar / Administrator / menejer
rabota/bary-restorany-razvlecheniya/barmen-barista|Ish / Barlar-restoranlar / Barmen / barista
rabota/bary-restorany-razvlecheniya/drugoe|Ish / Barlar-restoranlar / Boshqa
rabota/bary-restorany-razvlecheniya/kassir|Ish / Barlar-restoranlar / Kassir
rabota/bary-restorany-razvlecheniya/oficiant|Ish / Barlar-restoranlar / Ofitsiant
rabota/bary-restorany-razvlecheniya/pekar-konditer|Ish / Barlar-restoranlar / Nonvoy / qandolatchi
rabota/bary-restorany-razvlecheniya/povar|Ish / Barlar-restoranlar / Shef-povar / oshpaz
rabota/bary-restorany-razvlecheniya/shashlychnik-mangalshchik-fast-fud|Ish / Barlar-restoranlar / Shashlikchi / mangalchi / fast food
rabota/bary-restorany-razvlecheniya/uborshchica|Ish / Barlar-restoranlar / Farrosh / idish yuvuvchi
rabota/cekretariat-aho|Ish / Menejment / HR menejer / Ofis
rabota/chastichnaya-zanyatost|Ish / Qisman bandlik
rabota/domashniy-personal/domrabotnica|Ish / Uy xodimlari / Uy tozalovchi / xizmatchi
rabota/domashniy-personal/drugoe|Ish / Uy xodimlari / Boshqa
rabota/domashniy-personal/nyanya|Ish / Uy xodimlari / Enaga / qarovchi
rabota/drugie-sfery-zanyatiy|Ish / Boshqa mashg'ulotlar
rabota/it-telekom-kompyutery/dizayner|Ish / It-telekom-kompyuterlar / Dizayner
rabota/it-telekom-kompyutery/drugoe|Ish / It-telekom-kompyuterlar / Boshqa
rabota/it-telekom-kompyutery/operator|Ish / It-telekom-kompyuterlar / Call center operatori
rabota/it-telekom-kompyutery/programmist-razrabotchik|Ish / It-telekom-kompyuterlar / Programmist / dasturchi
rabota/krasota-fitnes-sport/administrator|Ish / Go'zallik-fitnes-sport / Administrator
rabota/krasota-fitnes-sport/drugoe|Ish / Go'zallik-fitnes-sport / Boshqa
rabota/krasota-fitnes-sport/kosmetolog|Ish / Go'zallik-fitnes-sport / Kosmetolog
rabota/krasota-fitnes-sport/leshmeyker-brovist|Ish / Go'zallik-fitnes-sport / Leshmeyker / brovist
rabota/krasota-fitnes-sport/master-manikyura-pedikyura|Ish / Go'zallik-fitnes-sport / Manikyur va pedikyur masteri
rabota/krasota-fitnes-sport/parikmakher|Ish / Go'zallik-fitnes-sport / Sartarosh
rabota/krasota-fitnes-sport/stilist|Ish / Go'zallik-fitnes-sport / Stilist
rabota/krasota-fitnes-sport/trener-massazhist|Ish / Go'zallik-fitnes-sport / Murabbiy / trener / massajist
rabota/kultura-iskusstvo|Ish / Madaniyat-san'at
rabota/marketing-reklama-dizayn/dizayner-videomontazher|Ish / Marketing-reklama-dizayn / Dizayner / video montaj
rabota/marketing-reklama-dizayn/drugoe|Ish / Marketing-reklama-dizayn / Boshqa
rabota/marketing-reklama-dizayn/marketolog|Ish / Marketing-reklama-dizayn / Marketolog
rabota/marketing-reklama-dizayn/mobilograf|Ish / Marketing-reklama-dizayn / Mobilograf
rabota/marketing-reklama-dizayn/smm-targetolog-kontent|Ish / Marketing-reklama-dizayn / SMM / kontent menejeri / targetolog
rabota/meditsina-farmatsiya/drugoe|Ish / Tibbiyot-farmatsiya / Boshqa
rabota/meditsina-farmatsiya/farmacevt|Ish / Tibbiyot-farmatsiya / Farmatsevt
rabota/meditsina-farmatsiya/medsestra-medbrat|Ish / Tibbiyot-farmatsiya / Hamshira / medbrat
rabota/meditsina-farmatsiya/sanitarka|Ish / Tibbiyot-farmatsiya / Sanitarka
rabota/meditsina-farmatsiya/stomatolog|Ish / Tibbiyot-farmatsiya / Tish shifokori
rabota/meditsina-farmatsiya/vrach|Ish / Tibbiyot-farmatsiya / Shifokor
rabota/nedvizhimost|Ish / Ko'chmas mulk
rabota/obrazovanie/administrator|Ish / Ta'lim / Administrator
rabota/obrazovanie/drugoe|Ish / Ta'lim / Boshqa
rabota/obrazovanie/prepodavatel-uchitel-pedagog|Ish / Ta'lim / O'qituvchi / pedagog
rabota/obrazovanie/repetitor|Ish / Ta'lim / Repetitor
rabota/obrazovanie/vospitatel-detskogo-sada|Ish / Ta'lim / Tarbiyachi / bog'cha opa
rabota/ohrana-bezopasnost|Ish / Qo'riqlash-xavfsizlik
rabota/proizvodstvo-energetika/drugoe|Ish / Ishlab chiqarish-energetika / Boshqa
rabota/proizvodstvo-energetika/energetik|Ish / Ishlab chiqarish-energetika / Energetik
rabota/proizvodstvo-energetika/konstruktor-tekhnolog|Ish / Ishlab chiqarish-energetika / Konstruktor / texnolog
rabota/proizvodstvo-energetika/malyar|Ish / Ishlab chiqarish-energetika / Malyar
rabota/proizvodstvo-energetika/master-mebeli|Ish / Ishlab chiqarish-energetika / Mebel ustasi / duradgor
rabota/proizvodstvo-energetika/mekhanik|Ish / Ishlab chiqarish-energetika / Mexanik
rabota/proizvodstvo-energetika/raznorabochiy|Ish / Ishlab chiqarish-energetika / Raznorabochiy
rabota/proizvodstvo-energetika/sborshchik|Ish / Ishlab chiqarish-energetika / Yig'uvchi
rabota/proizvodstvo-energetika/shveya-portnoy|Ish / Ishlab chiqarish-energetika / Tikuvchi / bichuvchi
rabota/proizvodstvo-energetika/slesar|Ish / Ishlab chiqarish-energetika / Chilangar / slesar
rabota/proizvodstvo-energetika/svarshchik|Ish / Ishlab chiqarish-energetika / Svarshik-payvandchi
rabota/proizvodstvo-energetika/tokar|Ish / Ishlab chiqarish-energetika / Tokar
rabota/roznichnaya-torgovlya-prodazhi/drugoe|Ish / Chakana savdo-sotuvlar / Boshqa
rabota/roznichnaya-torgovlya-prodazhi/kassir|Ish / Chakana savdo-sotuvlar / Kassir
rabota/roznichnaya-torgovlya-prodazhi/menedzher-supervayzer|Ish / Chakana savdo-sotuvlar / Menejer / supervayzer
rabota/roznichnaya-torgovlya-prodazhi/operator-menedzher-prodazh|Ish / Chakana savdo-sotuvlar / Operator / savdo menejeri
rabota/roznichnaya-torgovlya-prodazhi/prodavec-konsultant|Ish / Chakana savdo-sotuvlar / Sotuvchi-maslahatchi
rabota/roznichnaya-torgovlya-prodazhi/torgoviy-predstavitel|Ish / Chakana savdo-sotuvlar / Savdo agenti
rabota/servis-i-byt|Ish / Xizmat ko'rsatish / tozalash ishlari
rabota/stroitelstvo/drugoe|Ish / Qurilish / Boshqa
rabota/stroitelstvo/elektrik|Ish / Qurilish / Elektrik
rabota/stroitelstvo/inzhener|Ish / Qurilish / Muhandis-injiner
rabota/stroitelstvo/malyar-shtukatur|Ish / Qurilish / Malyar-suvoqchi
rabota/stroitelstvo/raznorabochiy-podsobnik|Ish / Qurilish / Raznorabochiy / yordamchi
rabota/stroitelstvo/santekhnik|Ish / Qurilish / Santexnik
rabota/stroitelstvo/svarshchik|Ish / Qurilish / Svarshik-payvandchi
rabota/transport-logistika/dispetcher|Ish / Transport / logistika / ombor / Dispetcher / logist
rabota/transport-logistika/drugoe|Ish / Transport / logistika / ombor / Boshqa
rabota/transport-logistika/ekspeditor|Ish / Transport / logistika / ombor / Ekspeditor
rabota/transport-logistika/kurer|Ish / Transport / logistika / ombor / Kuryer
rabota/transport-logistika/taksist|Ish / Transport / logistika / ombor / Taksi
rabota/transport-logistika/voditel|Ish / Transport / logistika / ombor / Haydovchi-shafyor
rabota/turizm-otdyh-razvlecheniya/administrator|Ish / Turizm / mehmonxona / o'yin-kulgi / Administrator
rabota/turizm-otdyh-razvlecheniya/drugoe|Ish / Turizm / mehmonxona / o'yin-kulgi / Boshqa
rabota/turizm-otdyh-razvlecheniya/gornichnaya|Ish / Turizm / mehmonxona / o'yin-kulgi / Farrosh
rabota/turizm-otdyh-razvlecheniya/turoperator|Ish / Turizm / mehmonxona / o'yin-kulgi / Turoperator / turizm menejeri
rabota/yurisprudentsiya-i-buhgalteriya|Ish / Yurist / buxgalteriya / moliya
hobbi-otdyh-i-sport/antikvariat-kollektsii/antikvarnaya-mebel|Xobbi, dam olish sport / Antikvar kolleksiyalar / Antikvar mebellar
hobbi-otdyh-i-sport/antikvariat-kollektsii/bukinistika|Xobbi, dam olish sport / Antikvar kolleksiyalar / Bukinistika
hobbi-otdyh-i-sport/antikvariat-kollektsii/kollektsionirovanie|Xobbi, dam olish sport / Antikvar kolleksiyalar / Kolleksiyalash
hobbi-otdyh-i-sport/antikvariat-kollektsii/podelki-rukodelie|Xobbi, dam olish sport / Antikvar kolleksiyalar / Qo'lda tayyorlangan mahsulotlar
hobbi-otdyh-i-sport/antikvariat-kollektsii/predmety-iskusstva|Xobbi, dam olish sport / Antikvar kolleksiyalar / San'at buyumlari
hobbi-otdyh-i-sport/antikvariat-kollektsii/zhivopis|Xobbi, dam olish sport / Antikvar kolleksiyalar / Rassomlik
hobbi-otdyh-i-sport/bilety|Xobbi, dam olish sport / Chiptalar
hobbi-otdyh-i-sport/cd-dvd-plastinki|Xobbi, dam olish sport / Cd-dvd-plastinkalar, kassetalar
hobbi-otdyh-i-sport/drugoe|Xobbi, dam olish sport / Boshqalar
hobbi-otdyh-i-sport/knigi-zhurnaly|Xobbi, dam olish sport / Kitoblar-jurnallar
hobbi-otdyh-i-sport/muzykalnye-instrumenty/aksessuary-dlya-muzykalnyh-instrumentov|Xobbi, dam olish sport / Musiqa anjomlari / Musiqa asboblari uchun aksessuarlar
hobbi-otdyh-i-sport/muzykalnye-instrumenty/duhovye-instrumenty|Xobbi, dam olish sport / Musiqa anjomlari / Puflab chalinadigan musiqa asboblari
hobbi-otdyh-i-sport/muzykalnye-instrumenty/gitary|Xobbi, dam olish sport / Musiqa anjomlari / Gitaralari
hobbi-otdyh-i-sport/muzykalnye-instrumenty/kombousiliteli|Xobbi, dam olish sport / Musiqa anjomlari / Kombo ovoz kuchaytirgichlar
hobbi-otdyh-i-sport/muzykalnye-instrumenty/pianino-fortepiano-royali|Xobbi, dam olish sport / Musiqa anjomlari / Pianino, fortepiano, royal
hobbi-otdyh-i-sport/muzykalnye-instrumenty/prochee|Xobbi, dam olish sport / Musiqa anjomlari / Boshqalar
hobbi-otdyh-i-sport/muzykalnye-instrumenty/sintezatory|Xobbi, dam olish sport / Musiqa anjomlari / Sintezatorlar
hobbi-otdyh-i-sport/muzykalnye-instrumenty/skripki|Xobbi, dam olish sport / Musiqa anjomlari / Скрипки
hobbi-otdyh-i-sport/muzykalnye-instrumenty/studiynoe-oborudovanie|Xobbi, dam olish sport / Musiqa anjomlari / Studiya jihozlari
hobbi-otdyh-i-sport/muzykalnye-instrumenty/udarnye-instrumenty|Xobbi, dam olish sport / Musiqa anjomlari / Urib chalinadigan musiqa asboblari
hobbi-otdyh-i-sport/sport-otdyh/atletika-fitnes|Xobbi, dam olish sport / Sport-dam olish / Atletika-fitnes
hobbi-otdyh-i-sport/sport-otdyh/edinoborstva-boks|Xobbi, dam olish sport / Sport-dam olish / Yakka kurash-boks
hobbi-otdyh-i-sport/sport-otdyh/futbol|Xobbi, dam olish sport / Sport-dam olish / Futbol
hobbi-otdyh-i-sport/sport-otdyh/igry-s-raketkoy|Xobbi, dam olish sport / Sport-dam olish / Raketka bilan o'yinlar
hobbi-otdyh-i-sport/sport-otdyh/konki|Xobbi, dam olish sport / Sport-dam olish / Konkilar
hobbi-otdyh-i-sport/sport-otdyh/lyzhi-snoubordy|Xobbi, dam olish sport / Sport-dam olish / Chang'i-snoubordlar
hobbi-otdyh-i-sport/sport-otdyh/nastolnye-igry|Xobbi, dam olish sport / Sport-dam olish / Stol o'yinlari
hobbi-otdyh-i-sport/sport-otdyh/ohota-rybalka|Xobbi, dam olish sport / Sport-dam olish / Ov-baliq ovi
hobbi-otdyh-i-sport/sport-otdyh/prochie-vidy-sporta|Xobbi, dam olish sport / Sport-dam olish / Boshqa sport turlari
hobbi-otdyh-i-sport/sport-otdyh/radioupravlyaemye-modeli|Xobbi, dam olish sport / Sport-dam olish / Radio boshqariladigan modellar
hobbi-otdyh-i-sport/sport-otdyh/rolikovye-konki|Xobbi, dam olish sport / Sport-dam olish / Rolikli konkilar
hobbi-otdyh-i-sport/sport-otdyh/sportivnoe-pitanie|Xobbi, dam olish sport / Sport-dam olish / Sportcha oziqlanish
hobbi-otdyh-i-sport/sport-otdyh/tovari-dlya-turizma|Xobbi, dam olish sport / Sport-dam olish / Sayohat uchun tovarlar
hobbi-otdyh-i-sport/sport-otdyh/velo|Xobbi, dam olish sport / Sport-dam olish / Velo
hobbi-otdyh-i-sport/sport-otdyh/vodnye-vidy-sporta|Xobbi, dam olish sport / Sport-dam olish / Suv sporti turlari
zhivotnye/akvariumnye-rybki|Hayvonlar / Akvarium baliqlari
zhivotnye/byuro-nahodok|Hayvonlar / Topilmalar idorasi
zhivotnye/drugie-zhivotnye|Hayvonlar / Boshqa hayvonlar
zhivotnye/gryzuny|Hayvonlar / Kemiruvchilar
zhivotnye/koshki|Hayvonlar / Mushuklar
zhivotnye/ptitsy|Hayvonlar / Qushlar
zhivotnye/selskohozyaystvennye-zhivotnye|Hayvonlar / Qishloq xo'jalik hayvonlari
zhivotnye/sobaki|Hayvonlar / Itlar
zhivotnye/tovary-dlya-zhivotnyh/pet_carriers|Hayvonlar / Hayvonlar uchun mahsulotlar / Hayvonlar uchun sumkalar
zhivotnye/tovary-dlya-zhivotnyh/pet_clothing|Hayvonlar / Hayvonlar uchun mahsulotlar / Hayvonlar uchun kiyim-kechak
zhivotnye/tovary-dlya-zhivotnyh/pet_food|Hayvonlar / Hayvonlar uchun mahsulotlar / Hayvonlar uchun oziq-ovqat
zhivotnye/tovary-dlya-zhivotnyh/pet_house|Hayvonlar / Hayvonlar uchun mahsulotlar / Hayvonlar uchun uycha
zhivotnye/tovary-dlya-zhivotnyh/pet_others|Hayvonlar / Hayvonlar uchun mahsulotlar / Boshqa
zhivotnye/vyazka|Hayvonlar / To'qish
zhivotnye/zhivotnye-darom|Hayvonlar / Tekinga hayvonlar
otdam-darom|Tekinga beraman
obmen-barter|Ayirboshlash
